health_metric,emissions_metric,n_state_year_pairs,n_predictors,raw_beta,standardized_beta,abs_standardized_beta,intercept,r_squared,adjusted_r_squared,condition_number
premature_deaths,mercury_water_kg,40,27,133.1399892057676,0.2749185130408235,0.2749185130408235,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths,copper_water_kg,40,27,-0.106590678168235,-0.24174885863507858,0.24174885863507858,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths,cadmium_air_kg,40,27,1.522776341896589,0.23093141181435634,0.23093141181435634,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths,total_land_emission_kg,40,27,-0.0015727919226021076,-0.20557599186455183,0.20557599186455183,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths,nickel_land_kg,40,27,-0.02152792670404869,-0.16040593900709996,0.16040593900709996,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths,zinc_water_kg,40,27,-0.031610393433589984,-0.15624712582375497,0.15624712582375497,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths,chromium_water_kg,40,27,-0.1574440501481496,-0.09976470302571383,0.09976470302571383,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths,lead_land_kg,40,27,-0.021271590890631856,-0.07426201685510869,0.07426201685510869,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths,lead_water_kg,40,27,-0.04279738990674082,-0.05994254502813982,0.05994254502813982,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths,chromium_land_kg,40,27,-0.037509753749391105,-0.057157025059537854,0.057157025059537854,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths,lead_air_kg,40,27,0.006481768475021116,0.0477158669188707,0.0477158669188707,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths,copper_air_kg,40,27,-0.0040588282041301455,-0.03833927597766604,0.03833927597766604,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths,zinc_land_kg,40,27,0.005734355759235317,0.038131653083431194,0.038131653083431194,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths,mercury_land_kg,40,27,26.980269010922367,0.0344589547019388,0.0344589547019388,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths,cadmium_water_kg,40,27,0.2574019613830177,0.028006429535003957,0.028006429535003957,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths,nickel_water_kg,40,27,0.07218870093013856,0.02009768381208027,0.02009768381208027,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths,copper_land_kg,40,27,-0.002334715567421497,-0.0017700614026895517,0.0017700614026895517,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths_asr_per_100000,total_air_emission_kg,40,27,-7.552635103012773e-07,-6.289400505409424,6.289400505409424,177.89959564472153,0.8932890780847091,0.6531895037753046,877691315.9059019
